date_utc_from_id,date_ist,source,title,classification,review_status,evidence
2026-09-12T14:52:32+00:00,2026-09-12,https://x.com/k7agar/status/2098786847241695591,AI-generated UMI assembly instructions,AI-generated illustration / tooling,Individual post opened in second image audit,"September 12 2026: author explicitly says Astra made LEGO-style assembly instructions from STLs. Label as generated instructions, not assembly photographs or verified engineering documentation."
2026-09-12T14:38:47+00:00,2026-09-12,https://x.com/k7agar/status/2098783385355444667,UMI CAD and design inspiration,Own hardware using external design,Individual post opened in second image audit,September 12 2026: author credits YosubShin/yam-umi and AI assistance. CAD illustration complements human-operated interface video; not autonomous behavior.
2026-09-09T18:14:31+00:00,2026-09-09,https://x.com/k7agar/status/2097750512187933138,Source storyboard for human-video experiment,Own experiment / input visualization,Individual post opened in second image audit,September 9 2026: parent is human video to storyboard to robot action; author reply explicitly labels image the source storyboard. No robot-action success rate inferred from input frames.
2026-09-09T16:52:25+00:00,2026-09-09,https://x.com/k7agar/status/2097729854661894189,Model-directed block placement,Own experiment,Individual post opened in second image audit,"September 9 2026: author describes instruction following and stacking. Still photo of physical scene; broad reasoning claims are informal, not a benchmark. Post has an edited timestamp."
2026-09-09T16:27:13+00:00,2026-09-09,https://x.com/k7agar/status/2097723509363605996,AGI letter blocks,Own experiment / informal commentary,Individual post opened in second image audit,September 9 2026: physical letter-block image in model-control thread. AGI wording is author's opinion; image does not establish general intelligence or repeatability.
2026-09-04T17:43:27+00:00,2026-09-04,https://x.com/k7agar/status/2095930757466472778,CoRL announcement image,Prior-pass lead,Prior-pass evidence; not reopened in second audit,Opened; Accept recommendation/decision image without title/authors; Research deferred
2026-08-07T04:13:44+00:00,2026-08-07,https://x.com/k7agar/status/2085580125148704777,Physical Atari external-camera setup,Team experiment,Individual post opened in second image audit,"August 7 2026: author confirms external-camera pixels, lag adaptation and STS3215 servos. Already linked from the page; this photo can explain the physical setup."
2026-05-08T00:46:04+00:00,2026-05-08,https://x.com/k7agar/status/2052550568355520542,MolmoAct camera-mount issue,Own deployment / hardware limitation,Individual post opened in second image audit,May 8 2026: author says he could not mount recommended Intel 435 camera properly and planned to print a mount. Useful setup/failure context next to existing 2x demo.
2026-05-03T17:32:14+00:00,2026-05-03,https://x.com/k7agar/status/2050991839080251747,Cat on robot,Prior-pass lead,Prior-pass evidence; not reopened in second audit,Personal/Craft image lead
2026-04-23T08:04:44+00:00,2026-04-23,https://x.com/k7agar/status/2047225144314351912,Bhakti's MAYA drone detail,Collaborator work / corrected false lead,Individual post opened in second image audit,"April 23 2026: parent credits Bhakti's first drone and Atharva says he recorded its video. Red part is drone structure, not a robot gripper. Do not assign drone construction to Atharva."
2026-04-11T14:54:45+00:00,2026-04-11,https://x.com/k7agar/status/2042979671328068096,Insta360 X4 UMI proposal,Own hardware plan,Individual post opened in second image audit,"April 11 2026: proposes open-source UMI based on Insta360 X4 and writing firmware. CAD prototype, not a completed camera/firmware release."
2026-04-11T14:51:10+00:00,2026-04-11,https://x.com/k7agar/status/2042978771872157918,UMI CAD inspired by Generalist,Collaborative hardware prototype,Individual post opened in second image audit,April 11 2026: own CAD image and quoted Generalist design. Earlier thread review recorded Varun credit. Preserve distinction from Generalist's photographed hardware.
2026-03-29T12:59:38+00:00,2026-03-29,https://x.com/k7agar/status/2038239660825313786,Sahil's printed bionic hand,Collaborator work,Individual post opened in second image audit,March 29 2026: Atharva links Sahil Apage's post stating Sahil has worked on the Hugging Face hand for weeks. Credit Sahil and upstream design; not Atharva's sole build.
